timestamp,hourly_traffic_count
datetime,float
T,
2011-02-07 10:00:00,2665
2011-02-07 11:00:00,2616
2011-02-07 12:00:00,2815
2011-02-07 13:00:00,2843
2011-02-07 14:00:00,2782
2011-02-07 15:00:00,3588
2011-02-07 16:00:00,4641
2011-02-07 17:00:00,5033
2011-02-07 18:00:00,4885
2011-02-07 19:00:00,4616
2011-02-07 20:00:00,3855
2011-02-07 21:00:00,3077
2011-02-07 22:00:00,2306
2011-02-07 23:00:00,2082
2011-02-08 00:00:00,1557
2011-02-08 01:00:00,1068
2011-02-08 02:00:00,577
2011-02-08 03:00:00,446
2011-02-08 04:00:00,373
2011-02-08 05:00:00,500
2011-02-08 06:00:00,1043
2011-02-08 07:00:00,2393
2011-02-08 08:00:00,3273
2011-02-08 09:00:00,3449
2011-02-08 10:00:00,2934
2011-02-08 11:00:00,2682
2011-02-08 12:00:00,2936
2011-02-08 13:00:00,2887
2011-02-08 14:00:00,3199
2011-02-08 15:00:00,3684
2011-02-08 16:00:00,4407
2011-02-08 17:00:00,4747
2011-02-08 18:00:00,5051
2011-02-08 19:00:00,4514
2011-02-08 20:00:00,3590
2011-02-08 21:00:00,3249
2011-02-08 22:00:00,2747
2011-02-08 23:00:00,1743
2011-02-09 00:00:00,1521
2011-02-09 01:00:00,1095
2011-02-09 02:00:00,603
2011-02-09 03:00:00,421
2011-02-09 04:00:00,382
2011-02-09 05:00:00,491
2011-02-09 06:00:00,1077
2011-02-09 07:00:00,2356
2011-02-09 08:00:00,3165
2011-02-09 09:00:00,3165
2011-02-09 10:00:00,2253
2011-02-09 11:00:00,2176
2011-02-09 12:00:00,3447
2011-02-09 13:00:00,3044
2011-02-09 14:00:00,3150
2011-02-09 15:00:00,3493
2011-02-09 16:00:00,4914
2011-02-09 17:00:00,5026
2011-02-09 18:00:00,4905
2011-02-09 19:00:00,4252
2011-02-09 20:00:00,4096
2011-02-09 21:00:00,3440
2011-02-09 22:00:00,2706
2011-02-09 23:00:00,1951
2011-02-10 00:00:00,1825
2011-02-10 01:00:00,1226
2011-02-10 02:00:00,670
2011-02-10 03:00:00,502
2011-02-10 04:00:00,389
2011-02-10 05:00:00,578
2011-02-10 06:00:00,1163
2011-02-10 07:00:00,2586
2011-02-10 08:00:00,3359
2011-02-10 09:00:00,3584
2011-02-10 10:00:00,2863
2011-02-10 11:00:00,2652
2011-02-10 12:00:00,2788
2011-02-10 13:00:00,3022
2011-02-10 14:00:00,3155
